epoch,train_loss,val_loss,watch_acc,phone_acc,joint_acc
1,0.465835,0.370163,0.9631,0.8649,0.8355
2,0.254781,0.293014,0.9716,0.9102,0.8864
3,0.176489,0.293163,0.9722,0.9244,0.9008
4,0.135002,0.268623,0.9735,0.9309,0.9082
5,0.109717,0.286332,0.9752,0.9280,0.9069
6,0.091482,0.293911,0.9761,0.9301,0.9096
7,0.077595,0.288659,0.9752,0.9359,0.9145
8,0.067985,0.293833,0.9770,0.9377,0.9178
9,0.059909,0.316563,0.9748,0.9373,0.9158
10,0.053052,0.317088,0.9774,0.9375,0.9181
11,0.047382,0.328985,0.9766,0.9396,0.9195
12,0.043533,0.323267,0.9752,0.9418,0.9204
13,0.038865,0.322225,0.9759,0.9433,0.9225
14,0.035908,0.351565,0.9773,0.9418,0.9225
15,0.033311,0.349140,0.9762,0.9427,0.9218
16,0.031553,0.337289,0.9776,0.9432,0.9237
17,0.029965,0.334258,0.9772,0.9429,0.9231
18,0.027480,0.343295,0.9781,0.9422,0.9236
19,0.026097,0.355350,0.9772,0.9429,0.9232
20,0.024620,0.382026,0.9765,0.9426,0.9224
21,0.023334,0.370734,0.9775,0.9435,0.9237
22,0.021236,0.410743,0.9752,0.9415,0.9201
23,0.021694,0.380951,0.9778,0.9433,0.9242
24,0.020057,0.390167,0.9776,0.9452,0.9257
25,0.019489,0.403003,0.9751,0.9452,0.9236
26,0.019036,0.388678,0.9773,0.9453,0.9256
27,0.019018,0.387463,0.9772,0.9451,0.9255
28,0.016868,0.422812,0.9766,0.9446,0.9248
29,0.017202,0.403565,0.9765,0.9463,0.9261
30,0.016593,0.409178,0.9786,0.9442,0.9261
31,0.015427,0.428315,0.9759,0.9452,0.9249
32,0.015793,0.406316,0.9777,0.9440,0.9248
33,0.014691,0.426965,0.9770,0.9449,0.9247
34,0.014327,0.411882,0.9771,0.9459,0.9259
35,0.014645,0.410150,0.9771,0.9465,0.9267
36,0.014078,0.398834,0.9769,0.9468,0.9274
37,0.013491,0.422095,0.9760,0.9451,0.9245
38,0.012787,0.427426,0.9772,0.9453,0.9256
39,0.014070,0.431231,0.9776,0.9453,0.9261
40,0.012286,0.424202,0.9770,0.9479,0.9282
