epoch,train_loss,val_loss,val_rot_err_deg
1,0.127901,0.099746,21.4510
2,0.087077,0.080349,18.7042
3,0.074985,0.071990,17.2764
4,0.068065,0.067749,16.6899
5,0.063383,0.064771,16.1063
6,0.059584,0.061439,15.6903
7,0.056263,0.058859,15.2319
8,0.053805,0.057550,15.0458
9,0.051473,0.056191,14.8959
10,0.049530,0.054255,14.5128
11,0.047715,0.054662,14.5423
12,0.046207,0.052787,14.2990
13,0.044843,0.051687,14.0713
14,0.043427,0.051118,13.9608
15,0.042284,0.050706,13.9753
16,0.041078,0.050841,13.8833
17,0.040140,0.050556,13.8832
18,0.039279,0.049521,13.6916
19,0.038319,0.049725,13.6977
20,0.037514,0.048776,13.5722
21,0.036605,0.048445,13.5104
22,0.036101,0.048290,13.4719
23,0.035323,0.047982,13.3671
24,0.034628,0.047850,13.3372
25,0.034040,0.047922,13.3709
26,0.033371,0.047647,13.3386
27,0.032936,0.047220,13.2503
28,0.032397,0.047424,13.2857
29,0.031921,0.047346,13.2833
30,0.031341,0.047097,13.2033
31,0.030767,0.046961,13.1551
32,0.030501,0.046902,13.1239
33,0.030174,0.046795,13.0774
34,0.029549,0.046554,13.0863
35,0.029217,0.046639,13.1114
36,0.028896,0.047264,13.2284
37,0.028521,0.046289,13.0032
38,0.028112,0.046507,13.0464
39,0.027839,0.046551,13.0535
40,0.027526,0.046519,13.0259
