epoch,train_loss,val_loss,val_rot_err_watch,val_rot_err_phone,val_rot_err_mean
1,0.234466,0.181338,23.4963,17.2862,20.3913
2,0.166689,0.159298,21.7293,15.8655,18.7974
3,0.149558,0.147179,20.9963,14.8557,17.9260
4,0.139206,0.143373,20.7470,14.5035,17.6252
5,0.131352,0.138761,20.3821,14.1363,17.2592
6,0.125069,0.131124,19.8016,13.6886,16.7451
7,0.119314,0.128629,19.6900,13.3966,16.5433
8,0.114680,0.126298,19.5055,13.0951,16.3003
9,0.110749,0.126162,19.5606,13.1036,16.3321
10,0.106935,0.125569,19.4203,12.9817,16.2010
11,0.103734,0.124081,19.3515,12.7875,16.0695
12,0.100843,0.123131,19.1711,12.7487,15.9599
13,0.098174,0.120815,19.0944,12.5547,15.8246
14,0.095787,0.118810,18.9398,12.3755,15.6576
15,0.093687,0.118960,18.9030,12.3780,15.6405
16,0.091560,0.118905,18.9084,12.4368,15.6726
17,0.089437,0.118633,18.9222,12.2473,15.5848
18,0.087792,0.118177,18.9160,12.1802,15.5481
19,0.086014,0.119056,18.9810,12.2037,15.5923
20,0.084491,0.116868,18.7790,12.1361,15.4576
21,0.082986,0.116866,18.7232,12.2103,15.4667
22,0.081495,0.118259,18.9497,12.0687,15.5092
23,0.080145,0.115378,18.5957,11.9806,15.2882
24,0.078868,0.116106,18.6637,12.0009,15.3323
25,0.077808,0.115530,18.7067,11.8998,15.3033
26,0.076595,0.115639,18.6120,11.9024,15.2572
27,0.075545,0.115096,18.6984,11.8265,15.2624
28,0.074577,0.116551,18.7614,11.8780,15.3197
29,0.073549,0.116065,18.6318,11.9351,15.2834
30,0.072866,0.114078,18.5894,11.7363,15.1628
31,0.071557,0.115813,18.6059,11.9272,15.2665
32,0.070886,0.114027,18.5957,11.7570,15.1764
33,0.070086,0.115492,18.5892,11.9023,15.2458
34,0.069179,0.114758,18.6257,11.7126,15.1691
35,0.068684,0.114584,18.5934,11.8164,15.2049
36,0.067750,0.115432,18.6659,11.7458,15.2058
37,0.066919,0.114808,18.6402,11.7167,15.1784
38,0.066319,0.113922,18.5538,11.6789,15.1164
39,0.065791,0.114418,18.5719,11.6911,15.1315
40,0.065141,0.114964,18.6442,11.6773,15.1607
